Item,Length,Width,Height,Weight,Material,Description,HS_tariff,value
Different Not Less Tote Bag,15,15,1,0.1,0,Tote bag,420292,25
"Different, Not Less book",15,15,2,0.32,0,Self help book,490199,32.99
Beauty in Neurodiversity Tee,15,15,3,0.3,0,T-shirt,610910,45
Evangeline & Anura Crewneck,26.5,30,5,0.65,0,Jumper,611011,75
Stimming Sticker collection,15,15,0.1,0.04,0,Stickers,482110,15
Communication cards,15,15,1,0.04,0,Business cards,491110,15
"SIGNED copy of Different, Not Less",15,15,2,0.35,0,Self help book,490199,48
Butterfly Different Not Less Pins,15,15,1,0.01,0,Pinback button,960622,15
Eye Sparkle Hoodie,26.5,30,5,0.65,0,Hoodie,611020,75
Neurodiversity Dino Tee,15,15,3,0.3,0,T-shirt,610910,45
"Different, Not Less pin",15,15,1,0.01,0,Pinback button,960622,15
Eye Sparkle Tee,15,15,3,0.26,0,T-shirt,610910,45
Different not Less Beanie,15,15,4,0.11,0,Beanie,650500,35
Lottie and Jigglypuff,15,15,0,0,0,Print,0,5
13 Wise Women (The COVID Year) Book,15,15,1,0.35,0,Self help book,490199,15
Different not less Hoodie,26.5,30,5,0.65,0,Hoodie,611020,75
SIGNED COPY 13 Wise Women (The COVID Year),15,15,1,0.35,0,Self help book,490199,15
Kids Eye Sparkle Tee,15,15,3,0.26,0,T-shirt,610910,45
Kids Eye Sparkle Hoodie,26.5,30,5,0.65,0,Hoodie,611020,75
Different not less Pins,15,15,1,0.01,0,Pinback button,960622,15
Bumper and Vinyl stickers,26.5,5,0.5,0.02,0,Laptop sticker / decal,490810,12.5
Pride pin,15,15,1,0.01,0,Pinback button,960622,20
